SaleID,Date,CustomerID,Product,Category,Quantity,UnitPrice,Discount,TotalAmount,GST(18%),TotalWithGST,PaymentMethod,City,Country,Region,SalesRep
202501-00001,2025-01-21,CUST-2824,"Laptop 13""",Electronics,3,603.05,0.00,1809.15,325.65,2134.80,Wallet,Singapore,Singapore,APAC,Asha Verma
202501-00002,2025-01-19,CUST-7912,"Laptop 13""",Electronics,1,323.34,0.00,323.34,58.20,381.54,Cash on Delivery,Kolkata,India,APAC,Arun Kumar
202501-00003,2025-01-08,CUST-8359,Smartwatch,Wearables,3,500.90,0.05,1427.56,256.96,1684.52,Wallet,Sydney,Australia,APAC,Mei Lin
202501-00004,2025-01-09,CUST-3547,Mechanical Keyboard,Accessories,3,24.31,0.10,65.64,11.82,77.46,UPI,San Francisco,USA,North America,Chris Johnson
202501-00005,2025-01-24,CUST-8527,Smartphone 128GB,Electronics,1,1950.26,0.10,1755.23,315.94,2071.17,Wallet,Berlin,Germany,EMEA,Sofia Rossi
202501-00006,2025-01-23,CUST-2139,"Laptop 13""",Electronics,2,1580.18,0.00,3160.36,568.86,3729.22,Debit Card,Chennai,India,APAC,Arun Kumar
202501-00007,2025-01-09,CUST-8428,Office Chair,Furniture,3,263.14,0.10,710.48,127.89,838.37,Wallet,Bengaluru,India,APAC,Rohit Iyer
202501-00008,2025-01-18,CUST-5010,Wireless Mouse,Accessories,4,63.12,0.00,252.48,45.45,297.93,Wallet,Singapore,Singapore,APAC,Rohit Iyer
202501-00009,2025-01-22,CUST-6313,External SSD 1TB,Storage,1,114.97,0.10,103.47,18.62,122.09,Net Banking,San Francisco,USA,North America,Chris Johnson
202501-00010,2025-01-07,CUST-6155,Mechanical Keyboard,Accessories,4,65.39,0.00,261.56,47.08,308.64,Net Banking,Hyderabad,India,APAC,Mei Lin
202501-00011,2025-01-05,CUST-5040,Standing Desk,Furniture,5,594.30,0.00,2971.50,534.87,3506.37,Net Banking,Dubai,UAE,EMEA,Olivia Martin
202501-00012,2025-01-12,CUST-4593,Wireless Mouse,Accessories,5,79.09,0.00,395.45,71.18,466.63,Credit Card,Hyderabad,India,APAC,Rohit Iyer
202501-00013,2025-01-26,CUST-7916,Smartwatch,Wearables,1,280.08,0.15,238.07,42.85,280.92,Cash on Delivery,San Francisco,USA,North America,Chris Johnson
202501-00014,2025-01-22,CUST-2876,Office Chair,Furniture,5,780.77,0.00,3903.85,702.69,4606.54,UPI,Chennai,India,APAC,Mei Lin
202501-00015,2025-01-14,CUST-3591,Bluetooth Speaker,Audio,1,382.91,0.00,382.91,68.92,451.83,UPI,Vancouver,Canada,North America,Emily Davis
202501-00016,2025-01-17,CUST-2743,External SSD 1TB,Storage,3,262.00,0.05,746.70,134.41,881.11,Debit Card,Berlin,Germany,EMEA,Sofia Rossi
