SaleID,Date,CustomerID,Product,Category,Quantity,UnitPrice,Discount,TotalAmount,GST(18%),TotalWithGST,PaymentMethod,City,Country,Region,SalesRep
202502-00001,2025-02-06,CUST-6934,Smartwatch,Wearables,1,423.78,0.10,381.40,68.65,450.05,Wallet,Chennai,India,APAC,Arun Kumar
202502-00002,2025-02-22,CUST-8844,Bluetooth Speaker,Audio,2,248.59,0.00,497.18,89.49,586.67,Net Banking,Mumbai,India,APAC,Rohit Iyer
202502-00003,2025-02-02,CUST-3095,Smartwatch,Wearables,5,163.79,0.00,818.95,147.41,966.36,Credit Card,Dubai,UAE,EMEA,Sofia Rossi
202502-00004,2025-02-02,CUST-3725,"27"" Monitor",Electronics,2,1105.79,0.00,2211.58,398.08,2609.66,Wallet,London,UK,EMEA,James Wilson
202502-00005,2025-02-07,CUST-8359,Smartwatch,Wearables,4,531.00,0.15,1805.40,324.97,2130.37,Cash on Delivery,Hyderabad,India,APAC,Rohit Iyer
202502-00006,2025-02-20,CUST-9369,"27"" Monitor",Electronics,2,1489.75,0.15,2532.57,455.86,2988.43,Cash on Delivery,Dubai,UAE,EMEA,James Wilson
202502-00007,2025-02-08,CUST-7196,Noise-Canceling Headphones,Audio,2,70.17,0.15,119.29,21.47,140.76,Debit Card,Chennai,India,APAC,Rohit Iyer
202502-00008,2025-02-16,CUST-1639,Printer,Office,5,291.40,0.15,1238.45,222.92,1461.37,Wallet,Hyderabad,India,APAC,Asha Verma
202502-00009,2025-02-25,CUST-8069,Smartphone 128GB,Electronics,4,835.20,0.15,2839.68,511.14,3350.82,Debit Card,Toronto,Canada,North America,Sarah Miller
202502-00010,2025-02-12,CUST-2600,Noise-Canceling Headphones,Audio,2,124.17,0.00,248.34,44.70,293.04,Credit Card,London,UK,EMEA,Olivia Martin
202502-00011,2025-02-09,CUST-4096,"Laptop 13""",Electronics,1,1219.28,0.00,1219.28,219.47,1438.75,Net Banking,Kolkata,India,APAC,Mei Lin
202502-00012,2025-02-14,CUST-6935,"Laptop 15""",Electronics,2,938.23,0.10,1688.81,303.99,1992.80,Cash on Delivery,Sydney,Australia,APAC,Mei Lin
202502-00013,2025-02-20,CUST-5514,Office Chair,Furniture,4,784.38,0.15,2666.89,480.04,3146.93,Debit Card,Berlin,Germany,EMEA,Olivia Martin
202502-00014,2025-02-09,CUST-6024,Smartwatch,Wearables,3,482.58,0.05,1375.35,247.56,1622.91,Wallet,Chennai,India,APAC,Rohit Iyer
202502-00015,2025-02-15,CUST-3650,"Laptop 15""",Electronics,2,1090.44,0.00,2180.88,392.56,2573.44,Cash on Delivery,Delhi,India,APAC,Rohit Iyer
202502-00016,2025-02-13,CUST-1086,Webcam HD,Accessories,1,125.26,0.15,106.47,19.16,125.63,Credit Card,Bengaluru,India,APAC,Mei Lin
202502-00017,2025-02-08,CUST-7075,"Laptop 15""",Electronics,5,219.85,0.15,934.36,168.18,1102.54,Cash on Delivery,Vancouver,Canada,North America,Michael Brown
202502-00018,2025-02-23,CUST-1941,Webcam HD,Accessories,2,99.64,0.05,189.32,34.08,223.40,Wallet,Vancouver,Canada,North America,Michael Brown
202502-00019,2025-02-07,CUST-1550,Webcam HD,Accessories,5,81.48,0.00,407.40,73.33,480.73,Cash on Delivery,Pune,India,APAC,Asha Verma
202502-00020,2025-02-12,CUST-4919,Office Chair,Furniture,1,978.57,0.10,880.71,158.53,1039.24,Net Banking,Berlin,Germany,EMEA,Olivia Martin
