SaleID,Date,CustomerID,Product,Category,Quantity,UnitPrice,Discount,TotalAmount,GST(18%),TotalWithGST,PaymentMethod,City,Country,Region,SalesRep
202503-00001,2025-03-10,CUST-8344,Office Chair,Furniture,2,359.24,0.00,718.48,129.33,847.81,Credit Card,Berlin,Germany,EMEA,Olivia Martin
202503-00002,2025-03-13,CUST-3748,Bluetooth Speaker,Audio,4,186.40,0.00,745.60,134.21,879.81,Net Banking,Hyderabad,India,APAC,Arun Kumar
202503-00003,2025-03-01,CUST-7249,Noise-Canceling Headphones,Audio,1,310.78,0.00,310.78,55.94,366.72,Cash on Delivery,Singapore,Singapore,APAC,Rohit Iyer
202503-00004,2025-03-18,CUST-3878,"27"" Monitor",Electronics,4,1007.75,0.15,3426.35,616.74,4043.09,Cash on Delivery,Toronto,Canada,North America,Chris Johnson
202503-00005,2025-03-11,CUST-3238,Standing Desk,Furniture,4,292.23,0.00,1168.92,210.41,1379.33,Credit Card,Mumbai,India,APAC,Mei Lin
202503-00006,2025-03-16,CUST-7628,Printer,Office,4,474.92,0.00,1899.68,341.94,2241.62,UPI,Munich,Germany,EMEA,Olivia Martin
202503-00007,2025-03-10,CUST-2167,Noise-Canceling Headphones,Audio,1,397.21,0.05,377.35,67.92,445.27,Debit Card,Sydney,Australia,APAC,Mei Lin
202503-00008,2025-03-25,CUST-6711,Smartphone 128GB,Electronics,4,1324.71,0.00,5298.84,953.79,6252.63,Wallet,Munich,Germany,EMEA,Olivia Martin
202503-00009,2025-03-24,CUST-5043,Mechanical Keyboard,Accessories,4,14.83,0.00,59.32,10.68,70.00,Wallet,Mumbai,India,APAC,Rohit Iyer
202503-00010,2025-03-09,CUST-8462,Office Chair,Furniture,2,343.77,0.00,687.54,123.76,811.30,Wallet,Pune,India,APAC,Asha Verma
202503-00011,2025-03-04,CUST-2512,Office Chair,Furniture,4,469.95,0.00,1879.80,338.36,2218.16,Cash on Delivery,Kolkata,India,APAC,Arun Kumar
202503-00012,2025-03-06,CUST-7993,"27"" Monitor",Electronics,3,1076.20,0.15,2744.31,493.98,3238.29,Cash on Delivery,London,UK,EMEA,Olivia Martin
202503-00013,2025-03-25,CUST-2456,"Laptop 15""",Electronics,5,1586.88,0.05,7537.68,1356.78,8894.46,UPI,Kolkata,India,APAC,Arun Kumar
202503-00014,2025-03-23,CUST-6047,"Laptop 13""",Electronics,2,1660.32,0.00,3320.64,597.72,3918.36,Wallet,Sydney,Australia,APAC,Arun Kumar
202503-00015,2025-03-21,CUST-5724,Standing Desk,Furniture,4,270.16,0.05,1026.61,184.79,1211.40,Debit Card,Toronto,Canada,North America,Emily Davis
202503-00016,2025-03-17,CUST-2806,Bluetooth Speaker,Audio,5,331.32,0.00,1656.60,298.19,1954.79,Wallet,Pune,India,APAC,Rohit Iyer
202503-00017,2025-03-09,CUST-7697,Bluetooth Speaker,Audio,5,70.40,0.00,352.00,63.36,415.36,Credit Card,London,UK,EMEA,James Wilson
202503-00018,2025-03-13,CUST-3042,"27"" Monitor",Electronics,1,782.98,0.15,665.53,119.80,785.33,Net Banking,Chennai,India,APAC,Asha Verma
202503-00019,2025-03-02,CUST-5359,Webcam HD,Accessories,1,103.15,0.00,103.15,18.57,121.72,Credit Card,Chennai,India,APAC,Rohit Iyer
202503-00020,2025-03-17,CUST-1118,Noise-Canceling Headphones,Audio,5,222.43,0.00,1112.15,200.19,1312.34,UPI,Toronto,Canada,North America,Sarah Miller
202503-00021,2025-03-25,CUST-6521,Smartwatch,Wearables,4,255.01,0.00,1020.04,183.61,1203.65,UPI,Manchester,UK,EMEA,Sofia Rossi
202503-00022,2025-03-31,CUST-6918,Office Chair,Furniture,4,453.02,0.10,1630.87,293.56,1924.43,UPI,Chennai,India,APAC,Asha Verma
202503-00023,2025-03-15,CUST-7583,Standing Desk,Furniture,2,142.60,0.10,256.68,46.20,302.88,Wallet,New York,USA,North America,Michael Brown
202503-00024,2025-03-15,CUST-8785,Smartphone 128GB,Electronics,4,1371.42,0.10,4937.11,888.68,5825.79,Credit Card,Berlin,Germany,EMEA,James Wilson
202503-00025,2025-03-26,CUST-6333,Office Chair,Furniture,4,325.53,0.00,1302.12,234.38,1536.50,UPI,Sydney,Australia,APAC,Arun Kumar
202503-00026,2025-03-22,CUST-2645,Standing Desk,Furniture,4,378.60,0.05,1438.68,258.96,1697.64,Cash on Delivery,Dubai,UAE,EMEA,James Wilson
202503-00027,2025-03-05,CUST-9158,Webcam HD,Accessories,1,52.19,0.00,52.19,9.39,61.58,Cash on Delivery,Melbourne,Australia,APAC,Rohit Iyer
202503-00028,2025-03-29,CUST-8311,"Laptop 15""",Electronics,4,1375.89,0.05,5228.38,941.11,6169.49,Debit Card,Bengaluru,India,APAC,Asha Verma
202503-00029,2025-03-14,CUST-1478,Wireless Mouse,Accessories,3,136.37,0.00,409.11,73.64,482.75,Debit Card,San Francisco,USA,North America,Sarah Miller
202503-00030,2025-03-31,CUST-3016,Office Chair,Furniture,2,932.01,0.00,1864.02,335.52,2199.54,Net Banking,Bengaluru,India,APAC,Mei Lin
202503-00031,2025-03-28,CUST-4666,Printer,Office,5,401.86,0.00,2009.30,361.67,2370.97,Wallet,Manchester,UK,EMEA,Olivia Martin
202503-00032,2025-03-30,CUST-7252,Office Chair,Furniture,5,970.30,0.05,4608.93,829.61,5438.54,Debit Card,San Francisco,USA,North America,Chris Johnson
202503-00033,2025-03-10,CUST-2436,"Laptop 15""",Electronics,1,779.44,0.05,740.47,133.28,873.75,Wallet,Chennai,India,APAC,Mei Lin
202503-00034,2025-03-05,CUST-6134,Noise-Canceling Headphones,Audio,5,302.66,0.05,1437.64,258.78,1696.42,Net Banking,Sydney,Australia,APAC,Mei Lin
202503-00035,2025-03-25,CUST-6980,Webcam HD,Accessories,2,82.77,0.00,165.54,29.80,195.34,Debit Card,Chennai,India,APAC,Arun Kumar
202503-00036,2025-03-01,CUST-9819,External SSD 1TB,Storage,4,135.82,0.00,543.28,97.79,641.07,UPI,New York,USA,North America,Sarah Miller
202503-00037,2025-03-22,CUST-8467,Wireless Mouse,Accessories,5,49.67,0.00,248.35,44.70,293.05,Wallet,Delhi,India,APAC,Mei Lin
202503-00038,2025-03-10,CUST-9230,Standing Desk,Furniture,1,360.64,0.00,360.64,64.92,425.56,Cash on Delivery,Toronto,Canada,North America,Emily Davis
202503-00039,2025-03-16,CUST-5775,Standing Desk,Furniture,4,171.76,0.00,687.04,123.67,810.71,Debit Card,Kolkata,India,APAC,Rohit Iyer
202503-00040,2025-03-23,CUST-1861,Printer,Office,2,439.85,0.00,879.70,158.35,1038.05,UPI,Pune,India,APAC,Asha Verma
202503-00041,2025-03-18,CUST-7427,USB-C Hub,Accessories,4,104.91,0.00,419.64,75.54,495.18,Net Banking,Munich,Germany,EMEA,James Wilson
202503-00042,2025-03-17,CUST-5637,"27"" Monitor",Electronics,2,1447.05,0.00,2894.10,520.94,3415.04,Debit Card,Manchester,UK,EMEA,James Wilson
202503-00043,2025-03-28,CUST-5981,Bluetooth Speaker,Audio,2,243.55,0.15,414.04,74.53,488.57,UPI,Hyderabad,India,APAC,Rohit Iyer
202503-00044,2025-03-07,CUST-4205,Standing Desk,Furniture,1,438.76,0.00,438.76,78.98,517.74,Credit Card,Hyderabad,India,APAC,Arun Kumar
202503-00045,2025-03-31,CUST-7997,Office Chair,Furniture,2,934.87,0.15,1589.28,286.07,1875.35,Debit Card,Delhi,India,APAC,Asha Verma
202503-00046,2025-03-17,CUST-6545,Smartwatch,Wearables,4,584.26,0.00,2337.04,420.67,2757.71,Net Banking,New York,USA,North America,Chris Johnson
202503-00047,2025-03-04,CUST-4946,Noise-Canceling Headphones,Audio,4,142.00,0.05,539.60,97.13,636.73,Wallet,Munich,Germany,EMEA,James Wilson
202503-00048,2025-03-25,CUST-8596,External SSD 1TB,Storage,4,126.05,0.00,504.20,90.76,594.96,UPI,Mumbai,India,APAC,Asha Verma
202503-00049,2025-03-04,CUST-2353,"Laptop 15""",Electronics,4,1336.61,0.00,5346.44,962.36,6308.80,Debit Card,Mumbai,India,APAC,Arun Kumar
202503-00050,2025-03-09,CUST-2549,Webcam HD,Accessories,5,35.35,0.15,150.24,27.04,177.28,UPI,Dubai,UAE,EMEA,Sofia Rossi
202503-00051,2025-03-04,CUST-6328,"Laptop 15""",Electronics,5,492.05,0.00,2460.25,442.84,2903.09,Credit Card,Munich,Germany,EMEA,Olivia Martin
202503-00052,2025-03-03,CUST-9501,External SSD 1TB,Storage,5,189.36,0.00,946.80,170.42,1117.22,Wallet,Chennai,India,APAC,Rohit Iyer
202503-00053,2025-03-31,CUST-2922,Wireless Mouse,Accessories,5,107.33,0.15,456.15,82.11,538.26,UPI,Chennai,India,APAC,Asha Verma
202503-00054,2025-03-05,CUST-4378,Office Chair,Furniture,2,197.28,0.00,394.56,71.02,465.58,Credit Card,Chennai,India,APAC,Mei Lin
202503-00055,2025-03-12,CUST-9919,Wireless Mouse,Accessories,4,146.79,0.00,587.16,105.69,692.85,Debit Card,London,UK,EMEA,James Wilson
202503-00056,2025-03-31,CUST-9510,Printer,Office,3,356.85,0.15,909.97,163.79,1073.76,Wallet,Manchester,UK,EMEA,Liam Schmidt
202503-00057,2025-03-20,CUST-9818,Smartphone 128GB,Electronics,2,1422.67,0.00,2845.34,512.16,3357.50,Credit Card,New York,USA,North America,Chris Johnson
202503-00058,2025-03-07,CUST-3321,"27"" Monitor",Electronics,2,1921.23,0.00,3842.46,691.64,4534.10,Debit Card,Dubai,UAE,EMEA,Liam Schmidt
202503-00059,2025-03-09,CUST-3105,Standing Desk,Furniture,5,491.37,0.10,2211.16,398.01,2609.17,Net Banking,Pune,India,APAC,Arun Kumar
202503-00060,2025-03-15,CUST-2364,"27"" Monitor",Electronics,4,1889.37,0.05,7179.61,1292.33,8471.94,Credit Card,San Francisco,USA,North America,Emily Davis
202503-00061,2025-03-23,CUST-7097,Smartwatch,Wearables,5,394.57,0.05,1874.21,337.36,2211.57,UPI,Sydney,Australia,APAC,Arun Kumar
202503-00062,2025-03-01,CUST-5055,"Laptop 15""",Electronics,3,380.55,0.15,970.40,174.67,1145.07,Credit Card,Manchester,UK,EMEA,James Wilson
202503-00063,2025-03-12,CUST-6464,Webcam HD,Accessories,3,30.49,0.00,91.47,16.46,107.93,UPI,Mumbai,India,APAC,Asha Verma
202503-00064,2025-03-13,CUST-4640,Noise-Canceling Headphones,Audio,1,319.61,0.10,287.65,51.78,339.43,Cash on Delivery,Toronto,Canada,North America,Chris Johnson
202503-00065,2025-03-17,CUST-6716,Standing Desk,Furniture,5,881.55,0.00,4407.75,793.39,5201.14,Credit Card,Pune,India,APAC,Mei Lin
202503-00066,2025-03-31,CUST-7382,Wireless Mouse,Accessories,3,122.85,0.00,368.55,66.34,434.89,Cash on Delivery,Singapore,Singapore,APAC,Arun Kumar
202503-00067,2025-03-16,CUST-3090,"27"" Monitor",Electronics,1,1420.32,0.00,1420.32,255.66,1675.98,Wallet,Hyderabad,India,APAC,Rohit Iyer
202503-00068,2025-03-13,CUST-5380,"Laptop 13""",Electronics,3,1458.88,0.15,3720.14,669.63,4389.77,Wallet,Melbourne,Australia,APAC,Rohit Iyer
202503-00069,2025-03-15,CUST-6799,Webcam HD,Accessories,4,80.31,0.15,273.05,49.15,322.20,Cash on Delivery,New York,USA,North America,Michael Brown
202503-00070,2025-03-21,CUST-2424,"27"" Monitor",Electronics,4,1575.57,0.00,6302.28,1134.41,7436.69,Wallet,Bengaluru,India,APAC,Asha Verma
202503-00071,2025-03-24,CUST-4932,"Laptop 15""",Electronics,2,1214.34,0.10,2185.81,393.45,2579.26,Cash on Delivery,Toronto,Canada,North America,Chris Johnson
202503-00072,2025-03-31,CUST-7946,Office Chair,Furniture,5,940.55,0.15,3997.34,719.52,4716.86,Cash on Delivery,Singapore,Singapore,APAC,Asha Verma
202503-00073,2025-03-13,CUST-1227,Smartwatch,Wearables,2,553.66,0.00,1107.32,199.32,1306.64,Wallet,Sydney,Australia,APAC,Mei Lin
202503-00074,2025-03-08,CUST-9652,Office Chair,Furniture,5,157.27,0.05,747.03,134.47,881.50,Wallet,Vancouver,Canada,North America,Emily Davis
202503-00075,2025-03-06,CUST-2230,USB-C Hub,Accessories,2,81.92,0.00,163.84,29.49,193.33,Net Banking,Toronto,Canada,North America,Sarah Miller
202503-00076,2025-03-06,CUST-7115,"Laptop 15""",Electronics,3,1840.98,0.00,5522.94,994.13,6517.07,UPI,London,UK,EMEA,Olivia Martin
202503-00077,2025-03-10,CUST-5337,Mechanical Keyboard,Accessories,1,113.32,0.05,107.65,19.38,127.03,UPI,Vancouver,Canada,North America,Chris Johnson
202503-00078,2025-03-30,CUST-8586,Printer,Office,5,436.31,0.00,2181.55,392.68,2574.23,Cash on Delivery,Melbourne,Australia,APAC,Mei Lin
202503-00079,2025-03-10,CUST-6798,"Laptop 15""",Electronics,1,796.99,0.00,796.99,143.46,940.45,Net Banking,Berlin,Germany,EMEA,James Wilson
202503-00080,2025-03-04,CUST-8058,Bluetooth Speaker,Audio,2,61.36,0.05,116.58,20.98,137.56,Net Banking,Chennai,India,APAC,Arun Kumar
202503-00081,2025-03-01,CUST-3549,Webcam HD,Accessories,3,41.65,0.10,112.45,20.24,132.69,UPI,Sydney,Australia,APAC,Rohit Iyer
202503-00082,2025-03-18,CUST-5415,"Laptop 15""",Electronics,4,1364.12,0.05,5183.66,933.06,6116.72,UPI,Sydney,Australia,APAC,Asha Verma
202503-00083,2025-03-12,CUST-4251,"Laptop 15""",Electronics,2,677.06,0.15,1151.00,207.18,1358.18,Wallet,Manchester,UK,EMEA,James Wilson
202503-00084,2025-03-06,CUST-4260,Bluetooth Speaker,Audio,3,73.95,0.15,188.57,33.94,222.51,Wallet,Hyderabad,India,APAC,Mei Lin
202503-00085,2025-03-25,CUST-7551,Smartphone 128GB,Electronics,4,393.12,0.00,1572.48,283.05,1855.53,Credit Card,Hyderabad,India,APAC,Rohit Iyer
202503-00086,2025-03-12,CUST-9192,"Laptop 13""",Electronics,2,246.27,0.00,492.54,88.66,581.20,Net Banking,Mumbai,India,APAC,Arun Kumar
202503-00087,2025-03-16,CUST-5742,"27"" Monitor",Electronics,4,302.84,0.05,1150.79,207.14,1357.93,Wallet,Vancouver,Canada,North America,Emily Davis
202503-00088,2025-03-08,CUST-5606,Webcam HD,Accessories,1,130.98,0.00,130.98,23.58,154.56,Debit Card,Sydney,Australia,APAC,Rohit Iyer
202503-00089,2025-03-16,CUST-2688,Standing Desk,Furniture,5,657.77,0.05,3124.41,562.39,3686.80,Debit Card,Chennai,India,APAC,Rohit Iyer
202503-00090,2025-03-13,CUST-1628,"27"" Monitor",Electronics,2,1868.83,0.05,3550.78,639.14,4189.92,Credit Card,Delhi,India,APAC,Arun Kumar
202503-00091,2025-03-14,CUST-9601,"27"" Monitor",Electronics,2,560.28,0.00,1120.56,201.70,1322.26,Cash on Delivery,Sydney,Australia,APAC,Asha Verma
202503-00092,2025-03-10,CUST-2803,"27"" Monitor",Electronics,3,669.03,0.15,1706.03,307.09,2013.12,Debit Card,Manchester,UK,EMEA,James Wilson
202503-00093,2025-03-06,CUST-1669,"Laptop 13""",Electronics,1,1371.80,0.10,1234.62,222.23,1456.85,Net Banking,San Francisco,USA,North America,Chris Johnson
202503-00094,2025-03-14,CUST-4028,"27"" Monitor",Electronics,4,822.63,0.00,3290.52,592.29,3882.81,Wallet,Mumbai,India,APAC,Rohit Iyer
202503-00095,2025-03-11,CUST-6907,Standing Desk,Furniture,3,773.78,0.10,2089.21,376.06,2465.27,Debit Card,San Francisco,USA,North America,Emily Davis
202503-00096,2025-03-19,CUST-7292,"Laptop 15""",Electronics,1,391.40,0.00,391.40,70.45,461.85,Credit Card,Delhi,India,APAC,Rohit Iyer
202503-00097,2025-03-07,CUST-8303,Printer,Office,1,111.45,0.10,100.31,18.06,118.37,UPI,Toronto,Canada,North America,Emily Davis
202503-00098,2025-03-18,CUST-3517,"Laptop 13""",Electronics,2,504.66,0.10,908.39,163.51,1071.90,Cash on Delivery,Berlin,Germany,EMEA,Liam Schmidt
202503-00099,2025-03-15,CUST-2923,Printer,Office,4,108.44,0.00,433.76,78.08,511.84,Debit Card,San Francisco,USA,North America,Emily Davis
202503-00100,2025-03-10,CUST-1744,Smartwatch,Wearables,1,493.08,0.00,493.08,88.75,581.83,Wallet,Munich,Germany,EMEA,Olivia Martin
202503-00101,2025-03-22,CUST-9723,External SSD 1TB,Storage,5,293.17,0.15,1245.97,224.27,1470.24,Cash on Delivery,Munich,Germany,EMEA,Olivia Martin
202503-00102,2025-03-20,CUST-5448,Mechanical Keyboard,Accessories,2,10.50,0.00,21.00,3.78,24.78,Cash on Delivery,Melbourne,Australia,APAC,Mei Lin
202503-00103,2025-03-10,CUST-4609,"27"" Monitor",Electronics,3,1171.48,0.00,3514.44,632.60,4147.04,Cash on Delivery,New York,USA,North America,Michael Brown
202503-00104,2025-03-02,CUST-3427,Printer,Office,3,469.44,0.00,1408.32,253.50,1661.82,Wallet,New York,USA,North America,Emily Davis
202503-00105,2025-03-18,CUST-2903,"Laptop 13""",Electronics,3,1320.46,0.00,3961.38,713.05,4674.43,UPI,Bengaluru,India,APAC,Mei Lin
202503-00106,2025-03-24,CUST-3189,Noise-Canceling Headphones,Audio,5,139.11,0.00,695.55,125.20,820.75,Wallet,Mumbai,India,APAC,Mei Lin
202503-00107,2025-03-08,CUST-5582,Wireless Mouse,Accessories,3,146.02,0.00,438.06,78.85,516.91,Wallet,Munich,Germany,EMEA,Liam Schmidt
202503-00108,2025-03-28,CUST-4377,External SSD 1TB,Storage,4,112.95,0.15,384.03,69.13,453.16,Debit Card,Melbourne,Australia,APAC,Rohit Iyer
202503-00109,2025-03-24,CUST-8109,USB-C Hub,Accessories,2,136.30,0.05,258.97,46.61,305.58,Net Banking,Pune,India,APAC,Rohit Iyer
202503-00110,2025-03-07,CUST-9036,Standing Desk,Furniture,2,689.86,0.05,1310.73,235.93,1546.66,Debit Card,Munich,Germany,EMEA,Sofia Rossi
202503-00111,2025-03-03,CUST-3351,"Laptop 15""",Electronics,4,603.72,0.00,2414.88,434.68,2849.56,Net Banking,Chennai,India,APAC,Rohit Iyer
202503-00112,2025-03-24,CUST-1193,Smartwatch,Wearables,1,276.50,0.00,276.50,49.77,326.27,Wallet,Delhi,India,APAC,Rohit Iyer
202503-00113,2025-03-08,CUST-2369,"27"" Monitor",Electronics,2,1886.41,0.00,3772.82,679.11,4451.93,Credit Card,Singapore,Singapore,APAC,Mei Lin
202503-00114,2025-03-28,CUST-2392,Mechanical Keyboard,Accessories,2,77.26,0.15,131.34,23.64,154.98,Debit Card,London,UK,EMEA,Liam Schmidt
202503-00115,2025-03-16,CUST-3531,Mechanical Keyboard,Accessories,1,86.09,0.00,86.09,15.50,101.59,Credit Card,Delhi,India,APAC,Asha Verma
202503-00116,2025-03-18,CUST-5861,"Laptop 15""",Electronics,5,1789.95,0.00,8949.75,1610.95,10560.70,Debit Card,Mumbai,India,APAC,Rohit Iyer
202503-00117,2025-03-14,CUST-7314,Wireless Mouse,Accessories,3,101.75,0.15,259.46,46.70,306.16,Wallet,Chennai,India,APAC,Arun Kumar
202503-00118,2025-03-06,CUST-2804,Mechanical Keyboard,Accessories,1,143.91,0.00,143.91,25.90,169.81,Cash on Delivery,Manchester,UK,EMEA,James Wilson
202503-00119,2025-03-12,CUST-2389,Printer,Office,1,333.89,0.10,300.50,54.09,354.59,Cash on Delivery,Pune,India,APAC,Arun Kumar
202503-00120,2025-03-05,CUST-5940,Smartwatch,Wearables,3,261.16,0.15,665.96,119.87,785.83,Wallet,Berlin,Germany,EMEA,Liam Schmidt
202503-00121,2025-03-26,CUST-2251,Webcam HD,Accessories,1,130.64,0.00,130.64,23.52,154.16,Wallet,Hyderabad,India,APAC,Mei Lin
202503-00122,2025-03-05,CUST-7399,Bluetooth Speaker,Audio,4,331.42,0.15,1126.83,202.83,1329.66,Wallet,San Francisco,USA,North America,Emily Davis
202503-00123,2025-03-03,CUST-6292,Wireless Mouse,Accessories,2,117.45,0.15,199.66,35.94,235.60,Net Banking,Toronto,Canada,North America,Sarah Miller
202503-00124,2025-03-20,CUST-6463,Wireless Mouse,Accessories,2,63.65,0.15,108.20,19.48,127.68,Cash on Delivery,Singapore,Singapore,APAC,Rohit Iyer
202503-00125,2025-03-13,CUST-2369,Smartwatch,Wearables,4,354.01,0.00,1416.04,254.89,1670.93,Wallet,New York,USA,North America,Chris Johnson
202503-00126,2025-03-08,CUST-6926,"Laptop 13""",Electronics,2,1988.72,0.15,3380.82,608.55,3989.37,Debit Card,Chennai,India,APAC,Asha Verma
202503-00127,2025-03-30,CUST-6723,USB-C Hub,Accessories,2,51.26,0.15,87.14,15.69,102.83,Debit Card,Kolkata,India,APAC,Rohit Iyer
202503-00128,2025-03-02,CUST-3257,"Laptop 15""",Electronics,2,848.30,0.15,1442.11,259.58,1701.69,UPI,Delhi,India,APAC,Asha Verma
202503-00129,2025-03-22,CUST-2208,Bluetooth Speaker,Audio,5,352.08,0.10,1584.36,285.18,1869.54,Debit Card,Bengaluru,India,APAC,Rohit Iyer
202503-00130,2025-03-03,CUST-1204,Smartwatch,Wearables,4,157.85,0.05,599.83,107.97,707.80,Wallet,Vancouver,Canada,North America,Michael Brown
202503-00131,2025-03-16,CUST-7742,Standing Desk,Furniture,3,510.70,0.00,1532.10,275.78,1807.88,Credit Card,London,UK,EMEA,James Wilson
202503-00132,2025-03-05,CUST-1983,Printer,Office,1,333.75,0.05,317.06,57.07,374.13,Credit Card,Munich,Germany,EMEA,Olivia Martin
202503-00133,2025-03-22,CUST-8443,Smartphone 128GB,Electronics,3,1850.43,0.05,5273.73,949.27,6223.00,Net Banking,Pune,India,APAC,Mei Lin
202503-00134,2025-03-03,CUST-9544,Noise-Canceling Headphones,Audio,2,304.96,0.00,609.92,109.79,719.71,Debit Card,Munich,Germany,EMEA,Sofia Rossi
202503-00135,2025-03-27,CUST-2264,External SSD 1TB,Storage,4,174.58,0.00,698.32,125.70,824.02,Net Banking,Munich,Germany,EMEA,Sofia Rossi
202503-00136,2025-03-02,CUST-7086,Office Chair,Furniture,4,291.36,0.00,1165.44,209.78,1375.22,UPI,Manchester,UK,EMEA,James Wilson
202503-00137,2025-03-08,CUST-5623,Wireless Mouse,Accessories,5,24.91,0.00,124.55,22.42,146.97,UPI,Kolkata,India,APAC,Rohit Iyer
202503-00138,2025-03-21,CUST-1530,Mechanical Keyboard,Accessories,3,21.91,0.00,65.73,11.83,77.56,Cash on Delivery,Toronto,Canada,North America,Chris Johnson
202503-00139,2025-03-02,CUST-6154,"Laptop 15""",Electronics,3,165.69,0.10,447.36,80.52,527.88,Net Banking,Vancouver,Canada,North America,Emily Davis
202503-00140,2025-03-11,CUST-7400,Standing Desk,Furniture,3,976.99,0.00,2930.97,527.57,3458.54,Credit Card,Manchester,UK,EMEA,Olivia Martin
202503-00141,2025-03-29,CUST-9250,"Laptop 15""",Electronics,5,1643.86,0.15,6986.40,1257.55,8243.95,Net Banking,Dubai,UAE,EMEA,James Wilson
202503-00142,2025-03-10,CUST-3641,Wireless Mouse,Accessories,4,21.03,0.00,84.12,15.14,99.26,Wallet,New York,USA,North America,Emily Davis
202503-00143,2025-03-26,CUST-3307,Webcam HD,Accessories,2,149.08,0.10,268.34,48.30,316.64,Net Banking,Hyderabad,India,APAC,Mei Lin
202503-00144,2025-03-10,CUST-6903,Smartwatch,Wearables,4,100.81,0.00,403.24,72.58,475.82,Wallet,Munich,Germany,EMEA,Sofia Rossi
202503-00145,2025-03-07,CUST-2228,Wireless Mouse,Accessories,5,97.89,0.00,489.45,88.10,577.55,Debit Card,London,UK,EMEA,James Wilson
